                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.84211,                0.58087,                 1.6263,                0.73924,                0.75759,                0.77016,                0.60177,                 0.7386,                0.49133,                 1.6961,               0.008812,               0.008812,               0.008812
                     38,                0.83359,                  0.582,                 1.6478,                0.73241,                0.76495,                0.77201,                0.60185,                0.74688,                0.49132,                 1.6847,               0.008779,               0.008779,               0.008779
                     39,                0.82705,                0.58449,                 1.6493,                0.73471,                0.77143,                0.78955,                0.61959,                 0.7342,                0.48443,                  1.688,               0.008746,               0.008746,               0.008746
                     40,                  0.832,                0.58507,                 1.6524,                0.76714,                0.75191,                0.78788,                0.61777,                0.74181,                0.48135,                 1.6863,               0.008713,               0.008713,               0.008713
                     41,                0.82242,                0.56251,                 1.6457,                 0.7686,                0.75921,                0.80323,                0.62946,                0.73607,                0.47667,                 1.6828,                0.00868,                0.00868,                0.00868
                     42,                0.82465,                0.57066,                 1.6583,                0.75007,                0.76859,                0.79036,                0.61976,                0.74038,                0.48209,                 1.6811,               0.008647,               0.008647,               0.008647
                     43,                0.82562,                0.57728,                 1.6396,                0.76054,                0.74552,                0.78095,                0.61602,                0.73733,                0.48378,                 1.6775,               0.008614,               0.008614,               0.008614
                     44,                 0.8211,                0.56307,                 1.6257,                0.77478,                 0.7547,                0.79003,                 0.6242,                0.73213,                0.47573,                 1.6862,               0.008581,               0.008581,               0.008581
                     45,                0.83134,                0.57539,                 1.6302,                0.77093,                0.74639,                0.79486,                0.62749,                0.72922,                0.47537,                 1.6836,               0.008548,               0.008548,               0.008548
                     46,                0.81848,                0.56599,                 1.6441,                0.76793,                0.74986,                0.79303,                0.62598,                0.72705,                0.47309,                 1.6834,               0.008515,               0.008515,               0.008515
                     47,                0.80923,                0.55954,                 1.6372,                0.76067,                0.75663,                0.79096,                 0.6242,                0.72846,                0.47609,                 1.6834,               0.008482,               0.008482,               0.008482
                     48,                0.82309,                0.56767,                 1.6441,                0.78151,                0.76932,                0.81614,                0.64322,                0.72244,                0.46585,                 1.6705,               0.008449,               0.008449,               0.008449
                     49,                0.82207,                0.57566,                 1.6368,                0.76718,                0.75569,                 0.7965,                0.62983,                0.72629,                0.47246,                 1.6731,               0.008416,               0.008416,               0.008416
                     50,                0.81832,                 0.5563,                 1.6128,                0.78433,                0.75967,                0.80973,                0.64043,                0.72684,                 0.4709,                 1.6731,               0.008383,               0.008383,               0.008383
                     51,                0.80596,                0.55334,                 1.6219,                0.77676,                0.77514,                0.80953,                0.64067,                0.72696,                0.46873,                 1.6657,                0.00835,                0.00835,                0.00835
                     52,                0.81884,                0.56109,                 1.6231,                0.77723,                0.77883,                0.81201,                0.64316,                0.72242,                0.46582,                 1.6633,               0.008317,               0.008317,               0.008317
                     53,                0.80308,                0.55417,                 1.6194,                 0.7918,                0.77793,                0.81596,                0.64719,                0.72054,                 0.4622,                 1.6659,               0.008284,               0.008284,               0.008284
                     54,                0.80609,                0.55828,                  1.608,                0.78588,                0.77286,                0.81378,                0.64672,                0.72109,                0.46337,                 1.6656,               0.008251,               0.008251,               0.008251
                     55,                0.79865,                0.54535,                 1.6081,                0.78803,                0.76898,                0.81326,                0.64688,                0.71827,                0.46275,                 1.6671,               0.008218,               0.008218,               0.008218
                     56,                0.80601,                0.55309,                 1.6289,                0.77672,                0.78048,                0.81694,                0.64943,                0.71764,                0.46032,                 1.6658,               0.008185,               0.008185,               0.008185
                     57,                0.80395,                 0.5494,                 1.5969,                0.77834,                0.77371,                0.81612,                0.64846,                0.71929,                0.45929,                 1.6622,               0.008152,               0.008152,               0.008152
                     58,                0.80923,                0.54759,                 1.6094,                0.80144,                 0.7645,                0.82189,                0.65399,                0.71869,                0.45815,                 1.6596,               0.008119,               0.008119,               0.008119
                     59,                0.80617,                0.54753,                  1.612,                0.78463,                 0.7603,                  0.807,                0.64445,                0.71628,                0.46031,                 1.6634,               0.008086,               0.008086,               0.008086
                     60,                0.80239,                0.55265,                  1.622,                0.78668,                0.78269,                0.82116,                0.65542,                0.71602,                0.45712,                 1.6598,               0.008053,               0.008053,               0.008053
                     61,                0.80567,                0.55258,                 1.5989,                0.78874,                0.78968,                0.82339,                 0.6566,                 0.7143,                0.45541,                 1.6566,                0.00802,                0.00802,                0.00802
                     62,                0.79633,                0.54102,                 1.6198,                0.79968,                0.77247,                0.82333,                0.65827,                 0.7122,                0.45402,                 1.6607,               0.007987,               0.007987,               0.007987
                     63,                0.79574,                0.53818,                 1.6023,                0.80367,                0.77705,                 0.8267,                0.66116,                 0.7159,                0.45404,                 1.6557,               0.007954,               0.007954,               0.007954
                     64,                0.80538,                0.55451,                 1.6115,                0.79066,                0.77981,                0.82265,                0.65879,                0.71113,                0.45537,                 1.6596,               0.007921,               0.007921,               0.007921
                     65,                0.80311,                0.54907,                 1.6184,                0.79094,                0.78176,                0.82476,                0.65959,                0.70932,                0.45266,                 1.6602,               0.007888,               0.007888,               0.007888
                     66,                0.79769,                 0.5451,                 1.6017,                0.78413,                0.78313,                0.82425,                0.65986,                0.70989,                0.45406,                 1.6557,               0.007855,               0.007855,               0.007855
